"","Year","Council","serv5g","Large urban areas","Other urban areas","Accessible small towns","Remote small towns","Accessible rural","Remote rural","All"
"278","2013","Fife","All","-","100","100","-","100","-","100"
"279","2013","Glasgow City","All","100","-","-","-","100","-","100"
"280","2013","Highland","All","-","100","-","100","100","100","100"
"281","2013","Inverclyde","All","-","100","100","-","100","-","100"
"282","2013","Midlothian","All","-","100","100","-","100","-","100"
"283","2013","Moray","All","-","100","100","100","100","100","100"
"284","2013","Na h-Eileanan Siar","All","-","-","-","100","-","100","100"
"285","2013","North Ayrshire","All","-","100","100","-","100","100","100"
"286","2013","North Lanarkshire","All","100","100","100","-","100","-","100"
"287","2013","Orkney Islands","All","-","-","-","100","-","100","100"
"288","2013","Perth and Kinross","All","100","100","100","100","100","100","100"
"289","2013","Renfrewshire","All","100","100","100","-","100","-","100"
"290","2013","Scotland","All","100","100","100","100","100","100","100"
"291","2013","Scottish Borders","All","-","100","100","100","100","100","100"
"292","2013","Shetland Islands","All","-","-","-","100","-","100","100"
"293","2013","South Ayrshire","All","-","100","100","100","100","100","100"
"294","2013","South Lanarkshire","All","100","100","100","-","100","100","100"
"295","2013","Stirling","All","-","100","100","-","100","100","100"
"296","2013","West Dunbartonshire","All","100","100","-","-","100","-","100"
"297","2013","West Lothian","All","-","100","100","-","100","-","100"
"298","2013","Aberdeen City","Base","260","-","10","-","-","-","270"
"299","2013","Aberdeenshire","Base","-","70","20","30","70","40","230"
"300","2013","Angus","Base","10","100","20","-","40","-","170"
"301","2013","Argyll and Bute","Base","-","40","-","80","10","90","220"
"302","2013","Clackmannanshire","Base","-","100","60","-","30","-","190"
"303","2013","Dumfries and Galloway","Base","-","60","40","20","30","50","190"
"304","2013","Dundee City","Base","230","-","-","-","0","-","230"
"305","2013","East Ayrshire","Base","-","60","50","10","30","10","150"
"306","2013","East Dunbartonshire","Base","120","70","20","-","10","-","210"
"307","2013","East Lothian","Base","50","10","60","30","50","10","200"
"308","2013","East Renfrewshire","Base","180","-","30","-","10","-","210"
"309","2013","Edinburgh, City of","Base","700","-","20","-","10","-","720"
"310","2013","Falkirk","Base","-","170","0","-","10","-","190"
"311","2013","Fife","Base","-","290","80","-","80","-","450"
"312","2013","Glasgow City","Base","810","-","-","-","0","-","810"
"313","2013","Highland","Base","-","70","-","50","20","100","240"
"314","2013","Inverclyde","Base","-","190","20","-","10","-","220"
"315","2013","Midlothian","Base","-","150","30","-","40","-","230"
"316","2013","Moray","Base","-","50","60","10","70","30","220"
"317","2013","Na h-Eileanan Siar","Base","-","-","-","60","-","190","260"
"318","2013","North Ayrshire","Base","-","150","40","-","10","10","210"
"319","2013","North Lanarkshire","Base","220","60","40","-","30","-","340"
"320","2013","Orkney Islands","Base","-","-","-","60","-","120","180"
"321","2013","Perth and Kinross","Base","0","80","30","30","70","20","230"
"322","2013","Renfrewshire","Base","190","20","20","-","10","-","240"
"323","2013","Scotland","Base","2950","2510","750","490","830","870","8400"
"324","2013","Scottish Borders","Base","-","50","50","10","60","30","200"
"325","2013","Shetland Islands","Base","-","-","-","80","-","150","230"
"326","2013","South Ayrshire","Base","-","160","10","10","20","0","200"
"327","2013","South Lanarkshire","Base","90","190","30","-","20","0","330"
"328","2013","Stirling","Base","-","120","30","-","50","10","210"
"329","2013","West Dunbartonshire","Base","110","100","-","-","0","-","220"
"330","2013","West Lothian","Base","-","160","20","-","20","-","200"
"331","2014","Aberdeen City","Satisfied","63.9","-","*","-","*","-","63.8"
"332","2014","Aberdeenshire","Satisfied","-","64.2","*","*","54.3","*","57.2"
"333","2014","Angus","Satisfied","*","80.5","*","-","*","*","68.3"
"334","2014","Argyll and Bute","Satisfied","-","*","-","73.2","*","66.2","76.2"
"335","2014","Clackmannanshire","Satisfied","-","73.3","64.6","-","*","-","63.3"
"336","2014","Dumfries and Galloway","Satisfied","-","66.3","*","*","*","*","61.2"
"337","2014","Dundee City","Satisfied","78.3","-","-","-","-","-","78.3"
"338","2014","East Ayrshire","Satisfied","-","66.5","*","*","*","*","63.7"
"339","2014","East Dunbartonshire","Satisfied","74.9","83.2","*","-","*","-","74.8"
"340","2014","East Lothian","Satisfied","*","*","*","*","49.5","*","70.2"
"341","2014","East Renfrewshire","Satisfied","81.1","-","*","-","*","-","80.4"
"342","2014","Edinburgh, City of","Satisfied","91.8","-","*","-","*","-","91"
"343","2014","Falkirk","Satisfied","-","82","*","-","*","-","80"
"344","2014","Fife","Satisfied","-","78.9","67.1","-","64.3","-","74"
"345","2014","Glasgow City","Satisfied","80.2","-","-","-","*","-","80.1"
"346","2014","Highland","Satisfied","-","65.5","*","*","*","47.2","61.1"
"347","2014","Inverclyde","Satisfied","-","88","*","-","*","-","85.7"
"348","2014","Midlothian","Satisfied","-","86.6","*","-","*","-","86.2"
"349","2014","Moray","Satisfied","-","65.6","*","*","56.8","*","65.5"
"350","2014","Na h-Eileanan Siar","Satisfied","-","-","-","65.8","-","77.9","74.3"
"351","2014","North Ayrshire","Satisfied","-","71.2","*","-","*","*","70.9"
"352","2014","North Lanarkshire","Satisfied","*","85.9","83.3","-","*","-","83.7"
"353","2014","Orkney Islands","Satisfied","-","-","-","84.4","-","63.5","70.5"
"354","2014","Perth and Kinross","Satisfied","*","86.6","*","*","57.7","*","72.4"
"355","2014","Renfrewshire","Satisfied","85.2","*","*","-","*","-","80.4"
"356","2014","Scotland","Satisfied","81.6","78.5","73.3","69.7","57.3","52.6","75"
"357","2014","Scottish Borders","Satisfied","-","75.8","*","*","55.3","*","62.5"
"358","2014","Shetland Islands","Satisfied","-","-","-","61.2","-","53.5","55.9"
"359","2014","South Ayrshire","Satisfied","-","65","*","*","*","*","66.8"
"360","2014","South Lanarkshire","Satisfied","77.3","78","*","-","*","*","72.4"
"361","2014","Stirling","Satisfied","-","88.2","*","-","44.7","*","75.2"
"362","2014","West Dunbartonshire","Satisfied","86.7","79.3","-","-","*","-","82.7"
"363","2014","West Lothian","Satisfied","-","81.7","*","-","*","-","80.8"
"364","2014","Aberdeen City","Neither satisfied nor dissatisfied","16.6","-","*","-","*","-","16.6"
"365","2014","Aberdeenshire","Neither satisfied nor dissatisfied","-","20.4","*","*","15.8","*","21"
"366","2014","Angus","Neither satisfied nor dissatisfied","*","14.7","*","-","*","*","15.2"
"367","2014","Argyll and Bute","Neither satisfied nor dissatisfied","-","*","-","12.5","*","8.2","8.8"
"368","2014","Clackmannanshire","Neither satisfied nor dissatisfied","-","10.5","17.1","-","*","-","14.7"
"369","2014","Dumfries and Galloway","Neither satisfied nor dissatisfied","-","14.3","*","*","*","*","18.7"
"370","2014","Dundee City","Neither satisfied nor dissatisfied","9.1","-","-","-","-","-","9.1"
"371","2014","East Ayrshire","Neither satisfied nor dissatisfied","-","29.4","*","*","*","*","25.7"
"372","2014","East Dunbartonshire","Neither satisfied nor dissatisfied","8.8","11.4","*","-","*","-","8.9"
"373","2014","East Lothian","Neither satisfied nor dissatisfied","*","*","*","*","16.7","*","15.3"
"374","2014","East Renfrewshire","Neither satisfied nor dissatisfied","13.2","-","*","-","*","-","13.4"
"375","2014","Edinburgh, City of","Neither satisfied nor dissatisfied","5.7","-","*","-","*","-","5.9"
"376","2014","Falkirk","Neither satisfied nor dissatisfied","-","7.8","*","-","*","-","8.6"
"377","2014","Fife","Neither satisfied nor dissatisfied","-","15.5","26.8","-","21.5","-","18.7"
"378","2014","Glasgow City","Neither satisfied nor dissatisfied","8.6","-","-","-","*","-","8.6"
"379","2014","Highland","Neither satisfied nor dissatisfied","-","23.8","*","*","*","22.4","21.3"
